HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
861200301,2015,35,6,1,2,3,2,60,1,9671,0,11000,0,0,0,0,3955,0,898,A0402,A1904,1401.252075
861200311,2015,40,5,1,7,1,2,60,2,528,9500,0,0,0,0,0,1310,0,0,A0402,A1901,1975.970386
861200331,2015,57,3,2,9,4,2,85,1,10560,0,13000,19200,4620,4620,2600,12280,0,100,A0402,A1905,1530.280184
861200351,2015,36,6,2,7,4,2,83,1,4134,0,17500,3000,10438,10438,0,6240,0,140,A0402,A1904,1545.577222
861200361,2015,85,1,3,,1,1,106,1,180,0,4000,7000,0,0,0,0,0,257,A0402,A1901,1387.980636
861200381,2015,49,4,2,5,4,3,191,1,3094,0,30000,50000,30000,0,0,0,6400,0,A0402,A1904,1618.208682
861200391,2015,78,1,2,,2,1,99,1,1550,0,5800,60,0,0,0,0,0,1006,A0402,A1901,1021.461052
861201351,2015,29,6,1,8,2,1,82,1,793,0,8000,0,0,0,0,1800,0,240,A0402,A1902,1547.224101
861201361,2015,73,2,3,9,1,1,83,1,184,0,4000,6000,0,0,0,300,0,329,A0402,A1901,1345.39226
861201381,2015,78,3,2,6,2,1,59,1,2496,0,1200,13000,0,0,0,0,170,646,A0402,A1901,1345.39226
861201391,2015,66,3,2,6,2,1,59,1,11134,0,2000,33500,0,0,0,0,8000,960,A0402,A1905,1463.548085
862200311,2015,66,1,3,,1,1,80,1,50,0,6000,0,1400,1400,0,160,0,379,A0402,A1901,1397.466697
862200331,2015,59,3,2,7,2,1,83,1,2106,0,15000,5000,0,0,400,4200,0,0,A0402,A1903,1294.967063
862200341,2015,58,6,2,2,4,2,93,1,28560,0,20000,0,0,0,0,1400,0,3720,A0402,A1904,1430.347125
862200351,2015,69,2,3,,1,2,102,1,290,0,10000,0,0,0,0,0,0,174,A0402,A1901,1197.796516
862200381,2015,38,5,2,3,4,2,51,1,2492,0,8000,0,0,0,0,4000,0,0,A0402,A1903,1704.233002
862504371,2015,40,6,2,3,4,2,132,1,43104,0,13000,0,0,0,0,6670,0,120,A0402,A1904,231.8770408
863200301,2015,64,6,2,1,2,2,175,1,34500,0,33000,0,0,0,0,0,6000,0,A0402,A1904,635.7707389
863504311,2015,66,3,2,8,2,1,90,1,13982,0,7500,0,0,0,0,0,2450,459,A0402,A1903,885.4855587
863504341,2015,67,3,3,7,1,1,36,4,1000,0,0,0,0,0,0,500,0,438,A0402,A1901,749.262056
863504381,2015,53,5,2,9,4,3,24,3,200,1000,0,0,0,0,0,2200,0,0,A0402,A1902,1085.008181
863504391,2015,31,5,2,3,3,2,59,1,3040,0,8000,0,2834,2834,0,3500,0,240,A0402,A1903,1166.842087
864504301,2015,31,4,2,7,2,2,84,1,10200,0,21000,0,9800,9800,0,0,4000,0,A0402,A1903,1034.510879
864504311,2015,87,1,3,,1,1,59,1,23,0,1000,0,0,0,0,0,0,179,A0402,A1901,1066.6137
865200381,2015,56,4,3,2,1,2,109,1,5845,0,16000,16000,0,0,0,0,0,516,A0402,A1901,1326.709972
865200391,2015,56,3,2,5,6,2,60,1,8174,0,9000,0,5000,5000,6800,3750,0,0,A0402,A1903,1505.375779
865502221,2015,31,1,2,2,2,2,66,1,6750,0,25000,0,12300,12300,0,8600,0,0,A0402,A1905,1289.271207
865502231,2015,41,4,4,8,4,2,72,1,4240,0,25000,0,12000,12000,0,2400,0,0,A0402,A1902,1579.777162
865502241,2015,53,4,2,8,4,2,85,1,15396,0,26000,0,0,0,0,10000,0,0,A0402,A1905,1579.777162
865502261,2015,46,6,3,2,3,2,63,1,2205,0,13000,2000,0,0,0,5000,0,0,A0402,A1904,1454.190362
865504331,2015,80,1,3,,1,2,40,3,104,350,0,0,0,0,0,0,0,179,A0402,A1901,875.3612165
865504341,2015,57,4,2,7,5,2,85,1,7975,0,12000,10000,2600,2600,0,6240,1800,0,A0402,A1905,1423.296173
865504351,2015,44,6,2,7,4,2,83,1,7220,0,19000,0,7680,7680,700,7000,0,0,A0402,A1904,2073.911627
866200351,2015,40,4,2,8,2,2,112,2,760,12500,0,0,0,0,700,4700,0,0,A0402,A1903,2552.018877
